code,name,name_eng
"1125074",길동,Gil-dong
"1125073",천호2동,Cheonho 2-dong
"1125072",암사1동,Amsa 1-dong
"1125071",둔촌2동,Dunchon 2-dong
"1125070",둔촌1동,Dunchon 1-dong
"1125067",성내3동,Seongnae 3-dong
"1125066",성내2동,Seongnae 2-dong
"1125065",성내1동,Seongnae 1-dong
"1125063",천호3동,Cheonho 3-dong
"1125061",천호1동,Cheonho 1-dong
"1125059",암사3동,Amsa 3-dong
"1125058",암사2동,Amsa 2-dong
"1125056",고덕2동,Godeok 2-dong
"1125055",고덕1동,Godeok 1-dong
"1125054",명일2동,Myeongil 2-dong
"1125053",명일1동,Myeongil 1-dong
"1125052",상일동,Sangil-dong
"1125051",강일동,Gangil-dong
"1124080",잠실3동,Jamsil 3-dong
"1124079",잠실2동,Jamsil 2-dong
"1124078",잠실7동,Jamsil 7-dong
"1124077",잠실6동,Jamsil 6-dong
"1124075",잠실4동,Jamsil 4-dong
"1124071",잠실본동,Jamsilbon-dong
"1124069",문정2동,Munjeong 2-dong
"1124068",문정1동,Munjeong 1-dong
"1124067",가락2동,Garak 2-dong
"1124066",가락1동,Garak 1-dong
"1124065",가락본동,Garakbon-dong
"1124064",삼전동,Samjeon-dong
"1124063",석촌동,Seokchon-dong
"1124062",송파2동,Songpa 2-dong
"1124061",송파1동,Songpa 1-dong
"1124060",오금동,Ogeum-dong
"1124059",오륜동,Oryun-dong
"1124058",방이2동,Bangi 2-dong
"1124057",방이1동,Bangi 1-dong
"1124056",마천2동,Macheon 2-dong
"1124082",위례동,Geoyeo 2-dong
"1124053",거여1동,Geoyeo 1-dong
"1124052",풍납2동,Pungnap 2-dong
"1124051",풍납1동,Pungnap 1-dong
"1123080",개포2동,Gaepo 2-dong
"1123079",대치2동,Daechi 2-dong
"1123078",청담동,Cheongdam-dong
"1123077",압구정동,Apgujeong-dong
"1123076",세곡동,Segok-dong
"1123075",수서동,Suseo-dong
"1123074",일원2동,Irwon 2-dong
"1123073",일원1동,Irwon 1-dong
"1123072",일원본동,Irwonbon-dong
"1123071",개포4동,Gaepo 4-dong
"1123068",개포1동,Gaepo 1-dong
"1123067",도곡2동,Dogok 2-dong
"1123066",도곡1동,Dogok 1-dong
"1123065",역삼2동,Yeoksam 2-dong
"1123064",역삼1동,Yeoksam 1-dong
"1123063",대치4동,Daechi 4-dong
"1123060",대치1동,Daechi 1-dong
"1123059",삼성2동,Samseong 2-dong
"1123058",삼성1동,Samseong 1-dong
"1123053",논현2동,Nonhyeon 2-dong
"1123052",논현1동,Nonhyeon 1-dong
"1123051",신사동,Sinsa-dong
"1122068",내곡동,Naegok-dong
"1122067",양재2동,Yangjae 2-dong
"1122066",양재1동,Yangjae 1-dong
"1122065",방배4동,Bangbae 4-dong
"1122064",방배3동,Bangbae 3-dong
